ID,Mass_ground_truth,RA,DEC,tau_lim_lo,tau_lim_hi,sig_lim_lo,sig_lim_hi,mu,u_band,g_band,r_band,i_band,z_band,z,M_i,ug,gr,ri,iz,zu,tau,sigma
46359,8.458727061,0.478713,-0.369185,1.66203,2.78327,-0.73891,-0.498942,19.3358,19.36762222,19.29686667,19.05962222,19.0044,19.01702222,1.1661,-25.161,0.07075555,0.23724445,0.05522222,-0.01262222,-0.3506,1.92439,-0.571569
72937,9.139732247,0.509743,-0.446803,2.31223,4.20919,-0.699628,-0.476727,20.7686,20.80701852,20.29394444,20.07690741,20.00201852,19.78451852,2.2124,-25.564,0.51307408,0.21703703,0.07488889,0.2175,-1.0225,2.48253,-0.543649
88587,7.780244224,0.536801,-0.295183,2.60001,4.42338,-0.729927,-0.563306,19.2144,19.13397727,18.77868182,18.70902273,18.56643182,18.60454545,0.6519,-24.049,0.35529545,0.06965909,0.14259091,-0.03811363,-0.52943182,2.72605,-0.611268
2764,8.615472129,0.537709,0.098021,2.48075,4.44133,-0.596737,-0.325197,20.9516,21.09504255,20.87402128,20.96089362,20.86544681,20.60278723,2.1463,-24.691,0.22102127,-0.08687234,0.09544681,0.26265958,-0.49225532,2.71836,-0.420727
73692,9.488697309,0.542136,-0.958597,2.55519,4.42446,-0.714677,-0.528012,20.2376,20.08833929,20.03844643,20.02625,19.88257143,19.76251786,1.9629,-25.247,0.04989286,0.01219643,0.14367857,0.12005357,-0.32582143,2.72882,-0.590229
31001,8.689868864,0.562912,-0.399687,2.44222,4.34072,-0.712172,-0.431118,20.7896,21.023,20.86790698,20.68688372,20.54662791,20.57309302,1.4496,-24.416,0.15509302,0.18102326,0.14025581,-0.02646511,-0.44990698,2.62027,-0.522069
78713,9.453152292,0.587986,0.363712,3.41627,4.73191,-1.47905,-1.14839,20.2978,20.40277193,19.16873684,18.91654386,18.83794737,18.86114035,3.057,-27.652,1.23403509,0.25219298,0.07859649,-0.02319298,-1.54163158,5,-1.35
37629,9.356082325,0.593639,-0.078754,2.35621,4.23794,-1.08197,-0.865879,18.8294,18.81975439,18.3367193,18.21491228,18.15603509,17.96463158,0.8104,-25.113,0.48303509,0.12180702,0.05887719,0.19140351,-0.85512281,2.51267,-0.921718
96715,9.298965194,0.627969,0.833065,2.73475,4.56156,-0.763117,-0.537392,18.8589,18.75569118,18.38425,17.94164706,17.81225,17.79517647,1.3527,-26.539,0.37144118,0.44260294,0.12939706,0.01707353,-0.96051471,2.87312,-0.595411
19608,9.325464628,0.628919,-0.104608,2.01975,3.69826,-0.445978,-0.264961,19.6482,19.59727778,19.61516667,19.24083333,19.21953704,19.33522222,1.3366,-25.142,-0.01788889,0.37433334,0.02129629,-0.11568518,-0.26205556,2.20852,-0.304914
133669,8.462114395,0.634677,-0.341632,1.85725,3.76481,-1.01904,-0.64149,20.5501,20.52925581,20.12965116,19.98976744,19.94153488,19.72988372,2.1851,-25.624,0.39960465,0.13988372,0.04823256,0.21165116,-0.79937209,2.18584,-0.762124
10408,8.348946856,0.668537,-0.675888,-0.029099,3.60702,-2.30114,-0.16677,21.0871,21.14395833,20.5951875,20.47575,20.56485417,20.14785417,0.7061,-22.447,0.54877083,0.1194375,-0.08910417,0.417,-0.99610416,1.28503,-0.220034
