,ID,ra,dec,z,BH_mass
493,150691,10.334457,0.436426,2.3589,0.0
494,150782,13.009996,1.024809,2.2709,0.0
495,151178,11.918702,0.238304,1.1576,8.687
496,151329,10.538158,0.760324,1.67,8.934
497,151452,10.503331,0.565842,1.403,0.0
498,151724,11.482609,0.915327,1.5503,8.54
499,151779,10.636367,-0.891414,1.38,8.434
500,152007,11.609887,0.221048,1.5417,8.906
501,152804,10.679449,0.033719,1.082,8.745
502,152872,10.014449,0.583859,2.7114,9.583
503,153226,13.576196,-0.760638,3.3804,9.729
504,153691,11.022392,-0.650298,1.5969,9.295
505,153834,10.935489,-0.69242,1.9299,8.785
506,154240,13.62264,0.980076,0.5017,7.619
507,154943,11.556201,0.39947,2.1206,9.42
508,155630,11.292277,0.678161,1.7057,8.387
509,156113,13.392226,-0.675525,2.0394,9.178
510,156456,10.873517,-0.350114,0.8503,8.596
511,158486,13.350321,0.259152,1.4035,9.139
512,158833,12.844006,0.575371,0.7079,0.0
513,158878,13.506173,0.479941,3.4127,9.26
514,158909,14.154624,-0.447207,0.4737,7.684
515,159479,12.760099,-1.045665,1.8772,9.605
516,159606,11.051032,1.251513,1.3966,9.053
517,160498,14.069538,0.804112,0.9098,8.381
518,160576,13.237153,-0.285879,1.6776,9.657
519,162009,11.261002,0.734254,0.621,8.637
520,162248,11.271093,-0.925673,1.4376,8.939
521,162282,12.101711,0.902477,0.9347,8.486
522,162770,12.546549,-0.386738,2.6971,0.0
523,162918,10.581103,-0.095114,1.1728,9.07
524,162959,14.956523,1.121522,1.5211,8.768
525,163272,10.577999,0.54364,3.0628,8.566
526,163351,13.864059,-0.497001,1.8347,0.0
527,163829,13.185349,0.832925,1.8743,0.0
528,164038,11.57971,-1.013377,1.2563,9.238
529,164163,14.162016,0.039485,1.5835,9.486
530,164724,12.466616,0.06227,1.1211,8.957
531,164998,11.273105,0.528549,1.5397,8.3
532,165369,11.219826,-0.140611,3.6323,8.94
533,165605,13.320503,-0.975583,1.8238,0.0
534,165681,10.338284,-1.20566,3.4704,0.0
535,165712,11.101988,0.49248,2.1668,9.109
536,165775,10.886296,0.416634,1.1283,8.552
537,166510,10.812864,1.246004,1.5632,9.308
538,166800,14.332305,-1.002889,0.6491,0.0
539,167093,14.84956,-0.022352,0.747,8.423
540,167160,11.803076,0.097077,1.6824,8.658
541,167239,11.065937,-0.717535,3.2047,0.0
542,167309,14.228702,-0.535459,3.2536,0.0
543,167566,14.19239,-0.817295,1.1154,0.0
544,167769,13.895901,-0.549547,2.0334,0.0
545,167784,11.79349,-0.871676,1.6538,9.067
546,168708,13.8493,-0.328313,1.8121,9.325
547,169017,13.408833,-1.141483,2.38,0.0
548,169073,13.146872,1.041135,1.3887,9.195
549,169517,11.032729,-0.190712,1.6002,8.991
550,169554,14.01066,-0.034139,2.3744,8.627
551,169594,14.947588,-1.169698,1.1275,8.977
552,169735,14.631254,0.465795,2.0973,0.0
553,169774,10.392363,1.005271,0.4875,7.988
554,170184,10.169328,0.189226,0.8641,9.067
555,170285,12.872433,-0.612441,3.7404,0.0
556,170335,13.840539,-0.471452,2.2481,9.175
557,170656,10.964247,0.165802,0.8234,8.474
558,170802,11.354664,-0.576096,1.5503,0.0
559,170983,10.956287,0.658414,1.9351,9.083
560,172708,11.142007,0.317643,1.8786,9.058
561,174258,11.276961,1.111601,1.0084,0.0
562,174278,12.60995,0.067867,1.4076,0.0
563,174561,11.54924,0.325131,0.6876,0.0
564,174564,11.059251,0.54695,2.0832,9.411
565,174863,14.925567,0.105416,2.5051,0.0
566,175731,14.32347,0.866151,1.033,0.0
567,176421,14.666828,-0.812695,0.8087,7.786
568,176560,13.554886,-0.194023,0.7822,8.485
569,176903,12.332026,-0.175432,0.817,8.144
570,177139,12.979453,-0.520843,1.3264,9.291
571,177186,12.969793,-0.417615,1.272,8.953
