,Unnamed: 0,SDSS_Name,ra_DR7,dec_DR7,M,ERR,ID,ra_S82,dec_S82,z
7541,7540,223148.88-004959.8,337.9537048339844,-0.8332930207252502,8.462122409722737,0.4175994540372015,1199446,337.953705,-0.833289,1.6583
8247,8246,231605.72-011218.4,349.02386474609375,-1.2051260471343994,9.027117752160894,0.11459442024117965,418096,349.023834,-1.205123,1.5255
2701,2701,015744.88-010507.0,29.437013626098643,-1.0852999687194824,8.830127453971274,0.22402688111071795,1219027,29.437,-1.085301,1.6626
1323,1323,005723.51+004057.7,14.347967147827148,0.6827110052108765,8.789469183692951,0.08676687003124987,191596,14.347966,0.682716,0.67
5599,5598,034532.27+010333.8,56.38449478149414,1.0594040155410769,7.609964277637035,0.1132017429760947,4965374,56.384495,1.0594059999999998,0.3865
7822,7821,224859.46+003602.1,342.247802734375,0.6005920171737671,8.669934432638787,0.168513330668251,792493,342.247772,0.600592,1.2516
8628,8627,233255.05-003936.2,353.2294006347656,-0.6600790023803711,8.95104788991876,0.13629547802002925,328467,353.229401,-0.660075,1.821
1491,1491,010614.38+011409.4,16.559946060180664,1.2359559535980225,8.915020925361219,0.08442527857003218,579604,16.559948000000002,1.235963,1.3541
6425,6424,213323.72+010808.2,323.3488464355469,1.1356229782104492,8.009240031746813,0.09648501540660624,2418936,323.348846,1.135624,0.4372
3001,3001,020927.94+011237.6,32.36645126342773,1.2104699611663818,8.24529118185557,0.16851151496255254,1634849,32.366440000000004,1.210471,1.0828
61,61,000246.47-000615.3,0.6936600208282471,-0.10427600145339966,8.299687151943097,0.5170731508472476,117460,0.693657,-0.104281,1.7127
4575,4575,030614.42+003306.6,46.560096740722656,0.5518350005149841,9.668572672376252,0.19493058520635329,3062512,46.560074,0.551852,3.276
6447,6446,213539.19-005422.4,323.913330078125,-0.9062389731407166,8.712215396676074,0.11121597366374754,2240954,323.91333,-0.90624,0.9488
9058,9057,235220.19-002756.0,358.08416748046875,-0.4655640125274658,8.041059463101526,1.2164826772286077,3944837,358.084167,-0.465558,0.8784
9039,9038,235142.35-001500.8,357.9264831542969,-0.2502470016479492,8.777192770196606,0.18529048586653696,3924077,357.926483,-0.250245,1.5995
402,402,001807.02+002244.6,4.5292649269104,0.3790600001811981,9.026725552215947,0.11014355007116064,8029,4.529266000000002,0.379059,1.2002
332,332,001526.52+001813.1,3.860531091690064,0.30366599559783936,8.716255371878155,0.14776982044043685,4600,3.860528,0.303667,1.362
7850,7849,225207.11+005844.1,343.0296630859375,0.9789389967918396,9.690967442127768,0.08494333524185732,847048,343.029663,0.978941,1.7214
1009,1009,004412.24+011505.4,11.051031112670898,1.2515109777450562,9.14862795777877,0.08112603545499414,159606,11.051032,1.251513,1.3966
1168,1168,005109.49+003839.0,12.789548873901367,0.6441760063171387,8.639814414221291,0.3880777303236117,231214,12.789546,0.644175,1.9331
6902,6901,220108.21-010640.0,330.2842102050781,-1.1111329793930054,8.7546213312485,0.06141699920647085,1513653,330.2842100000001,-1.111136,1.9561
164,164,000750.05-000914.7,1.9585440158844,-0.15408599376678467,8.416697635038169,0.18197192338216292,54554,1.958546,-0.154086,0.7993
5601,5600,034533.69-002302.8,56.39038848876953,-0.3841139972209929,8.512545769941097,0.24076229595396464,4921512,56.39038100000001,-0.384114,0.7991
6217,6216,210549.78+005106.9,316.4574279785156,0.8519300222396851,8.764995186441686,0.03868898381380577,2930164,316.457428,0.85193,2.7460000000000004
4801,4801,031610.53-010326.5,49.04388046264648,-1.0573740005493164,8.967623786400917,0.2030668102606322,3139344,49.043877,-1.057375,1.5133
9071,9070,235251.16-001950.4,358.21319580078125,-0.3306860029697418,9.251706180078159,0.3726701621388138,3969474,358.213196,-0.330681,2.1472
7520,7519,223015.02+005350.6,337.5626220703125,0.897400975227356,9.679550162147603,0.3297989974162818,1131341,337.5626220000001,0.8973969999999999,1.7291
5787,5786,204224.75+005833.4,310.6031799316406,0.975970983505249,8.869211892321069,0.17684267159220635,3280024,310.6031490000001,0.975973,1.2764
5516,5516,034218.77+004207.3,55.57824325561523,0.70204097032547,8.494370595685137,0.6681987985721606,4938823,55.578239,0.702042,0.552
