my_ID,ID,MJD,ra,dec,Mass,z,ERR,M_i,spec_mjd,ra.1,dec.1,u_band,g_band,r_band,i_band,z_band,ug,gr,ri,iz,zu
6834,4229-55501-0156 ,55501,22.528394,-0.081604547,8.136123423,2.378,0.293330999,-25.569496,55501,22.52839,-0.08160664,21.45921,21.01412,20.55179,21.5959,20.62877,0.44509,0.46233,-1.04411,0.96713,-0.83044
13960,4233-55449-0412 ,55449,28.180905,-0.66010401,8.423824956,0.851,0.030314105,-23.797787,55449,28.18093,-0.6601003,20.29514,20.02283,19.97404,20.09379,19.88694,0.27231,0.04879,-0.11975,0.20685,-0.4082
18790,7822-57041-0409 ,57041,41.448521,-0.63531633,9.123260909,2.8590112,0.18919163,-25.849068,57041,41.44852,-0.6353163,21.66193,20.89871,20.79474,20.72395,20.7493,0.76322,0.10397,0.07079,-0.02535,-0.91263
26811,4206-55471-0868 ,55471,343.76316,1.192913,9.242791938,1.131,0.030314156,-25.893732,55471,343.7632,1.192897,19.85069,20.24585,20.41139,19.56573,19.2452,-0.39516,-0.16554,0.84566,0.32053,-0.60549
21866,1091-52902-0225 ,52902,359.68643,-0.73346258,8.967714379,0.9815,0.233560401,-24.198513,52902,359.6864,-0.733456,20.76685,20.36992,19.99471,19.95591,19.86539,0.39693,0.37521,0.0388,0.09052,-0.90146
4003,7818-56989-0049 ,56989,22.351085,-0.78755299,8.890064261,1.9788104,0.119808836,-24.995232,56989,22.35109,-0.787553,20.9137,20.79354,20.71321,20.57383,20.41946,0.12016,0.08033,0.13938,0.15437,-0.49424
11762,7840-57003-0051 ,57003,29.033667,-0.89818125,8.029086116,2.294,0.211546295,-26.449457,57003,29.03367,-0.8981815,20.73772,20.0559,19.97028,19.76055,19.44183,0.68182,0.08562,0.20973,0.31872,-1.29589
160,4219-55480-0466 ,55480,4.015035,-0.512597,8.540038567,1.403,0.080385904,-24.656914,55480,4.015028,-0.5126086,20.32603,20.28142,20.136,20.07117,20.15118,0.04461,0.14542,0.06483,-0.08001,-0.17485
26158,5143-55828-0389 ,55828,321.36892,0.99092046,8.48460063,0.931,0.270992376,-22.893902,55828,321.3689,0.9910343,22.94897,22.13427,21.51157,21.16099,20.88908,0.8147,0.6227,0.35058,0.27191,-2.05989
16836,7872-57279-0914 ,57279,15.013246,0.87760722,8.788758535,1.3417568,0.289737337,-23.920092,57279,15.01325,0.8776072,21.27375,21.32327,21.03512,20.94442,20.94427,-0.04952,0.28815,0.0907,0.00015,-0.32948
15949,7334-56656-0090 ,56656,37.644252,-1.009191,8.625650204,2.308,0.271007937,-23.727364,56656,37.64426,-1.009193,23.86138,22.83551,22.91517,22.65527,22.44123,1.02587,-0.07966,0.2599,0.21404,-1.42015
